,EDA,timestamp,period,time_seconds
590,0.023064,10:31:24,in-test,147.5
591,0.024345,10:31:24,in-test,147.75
592,0.023064,10:31:25,in-test,148.0
593,0.026908,10:31:25,in-test,148.25
594,0.023064,10:31:25,in-test,148.5
595,0.021783,10:31:25,in-test,148.75
596,0.024345,10:31:26,in-test,149.0
597,0.025627,10:31:26,in-test,149.25
598,0.024345,10:31:26,in-test,149.5
599,0.024345,10:31:26,in-test,149.75
600,0.023064,10:31:27,in-test,150.0
601,0.024345,10:31:27,in-test,150.25
602,0.024345,10:31:27,in-test,150.5
603,0.023064,10:31:27,in-test,150.75
604,0.023064,10:31:28,in-test,151.0
605,0.025627,10:31:28,in-test,151.25
606,0.025627,10:31:28,in-test,151.5
607,0.024345,10:31:28,in-test,151.75
608,0.026908,10:31:29,in-test,152.0
609,0.023064,10:31:29,in-test,152.25
610,0.021783,10:31:29,in-test,152.5
611,0.024345,10:31:29,in-test,152.75
612,0.024345,10:31:30,in-test,153.0
613,0.024345,10:31:30,in-test,153.25
614,0.021783,10:31:30,in-test,153.5
615,0.023064,10:31:30,in-test,153.75
616,0.025627,10:31:31,in-test,154.0
617,0.023064,10:31:31,in-test,154.25
618,0.021783,10:31:31,in-test,154.5
619,0.025627,10:31:31,in-test,154.75
620,0.023064,10:31:32,in-test,155.0
621,0.023064,10:31:32,in-test,155.25
622,0.025627,10:31:32,in-test,155.5
623,0.025627,10:31:32,in-test,155.75
624,0.024345,10:31:33,in-test,156.0
625,0.025627,10:31:33,in-test,156.25
626,0.023064,10:31:33,in-test,156.5
627,0.024345,10:31:33,in-test,156.75
628,0.024345,10:31:34,in-test,157.0
629,0.023064,10:31:34,in-test,157.25
630,0.023064,10:31:34,in-test,157.5
631,0.021783,10:31:34,in-test,157.75
632,0.025627,10:31:35,in-test,158.0
633,0.025627,10:31:35,in-test,158.25
634,0.024345,10:31:35,in-test,158.5
635,0.020501,10:31:35,in-test,158.75
636,0.028189,10:31:36,in-test,159.0
637,0.024345,10:31:36,in-test,159.25
638,0.024345,10:31:36,in-test,159.5
639,0.024345,10:31:36,in-test,159.75
640,0.021783,10:31:37,in-test,160.0
641,0.024345,10:31:37,in-test,160.25
642,0.023064,10:31:37,in-test,160.5
643,0.024345,10:31:37,in-test,160.75
644,0.024345,10:31:38,in-test,161.0
645,0.024345,10:31:38,in-test,161.25
646,0.024345,10:31:38,in-test,161.5
647,0.023064,10:31:38,in-test,161.75
648,0.023064,10:31:39,in-test,162.0
649,0.024345,10:31:39,in-test,162.25
650,0.024345,10:31:39,in-test,162.5
651,0.023064,10:31:39,in-test,162.75
652,0.023064,10:31:40,in-test,163.0
653,0.025627,10:31:40,in-test,163.25
654,0.024345,10:31:40,in-test,163.5
655,0.024345,10:31:40,in-test,163.75
656,0.023064,10:31:41,in-test,164.0
657,0.025627,10:31:41,in-test,164.25
658,0.023064,10:31:41,in-test,164.5
659,0.021783,10:31:41,in-test,164.75
660,0.024345,10:31:42,in-test,165.0
661,0.023064,10:31:42,in-test,165.25
