TEMP,timestamp,period,time_seconds
26.21,08:35:37,pre-test,-167.25
26.19,08:35:38,pre-test,-167.0
26.19,08:35:38,pre-test,-166.75
26.19,08:35:38,pre-test,-166.5
26.19,08:35:38,pre-test,-166.25
26.19,08:35:39,pre-test,-166.0
26.19,08:35:39,pre-test,-165.75
26.19,08:35:39,pre-test,-165.5
26.19,08:35:39,pre-test,-165.25
26.17,08:35:40,pre-test,-165.0
26.17,08:35:40,pre-test,-164.75
26.17,08:35:40,pre-test,-164.5
26.17,08:35:40,pre-test,-164.25
26.19,08:35:41,pre-test,-164.0
26.19,08:35:41,pre-test,-163.75
26.19,08:35:41,pre-test,-163.5
26.19,08:35:41,pre-test,-163.25
26.17,08:35:42,pre-test,-163.0
26.17,08:35:42,pre-test,-162.75
26.17,08:35:42,pre-test,-162.5
26.17,08:35:42,pre-test,-162.25
26.17,08:35:43,pre-test,-162.0
26.17,08:35:43,pre-test,-161.75
26.17,08:35:43,pre-test,-161.5
26.17,08:35:43,pre-test,-161.25
26.23,08:35:44,pre-test,-161.0
26.23,08:35:44,pre-test,-160.75
26.23,08:35:44,pre-test,-160.5
26.23,08:35:44,pre-test,-160.25
26.17,08:35:45,pre-test,-160.0
26.17,08:35:45,pre-test,-159.75
26.17,08:35:45,pre-test,-159.5
26.17,08:35:45,pre-test,-159.25
26.17,08:35:46,pre-test,-159.0
26.17,08:35:46,pre-test,-158.75
26.17,08:35:46,pre-test,-158.5
26.17,08:35:46,pre-test,-158.25
26.23,08:35:47,pre-test,-158.0
26.23,08:35:47,pre-test,-157.75
26.23,08:35:47,pre-test,-157.5
26.23,08:35:47,pre-test,-157.25
26.21,08:35:48,pre-test,-157.0
26.21,08:35:48,pre-test,-156.75
26.21,08:35:48,pre-test,-156.5
26.21,08:35:48,pre-test,-156.25
26.19,08:35:49,pre-test,-156.0
26.19,08:35:49,pre-test,-155.75
26.19,08:35:49,pre-test,-155.5
26.19,08:35:49,pre-test,-155.25
26.23,08:35:50,pre-test,-155.0
26.23,08:35:50,pre-test,-154.75
26.23,08:35:50,pre-test,-154.5
26.23,08:35:50,pre-test,-154.25
26.17,08:35:51,pre-test,-154.0
26.17,08:35:51,pre-test,-153.75
26.17,08:35:51,pre-test,-153.5
26.17,08:35:51,pre-test,-153.25
26.19,08:35:52,pre-test,-153.0
26.19,08:35:52,pre-test,-152.75
26.19,08:35:52,pre-test,-152.5
26.19,08:35:52,pre-test,-152.25
26.19,08:35:53,pre-test,-152.0
26.19,08:35:53,pre-test,-151.75
26.19,08:35:53,pre-test,-151.5
26.19,08:35:53,pre-test,-151.25
26.35,08:35:54,pre-test,-151.0
26.35,08:35:54,pre-test,-150.75
26.35,08:35:54,pre-test,-150.5
26.35,08:35:54,pre-test,-150.25
26.29,08:35:55,pre-test,-150.0
26.29,08:35:55,pre-test,-149.75
26.29,08:35:55,pre-test,-149.5
26.29,08:35:55,pre-test,-149.25
26.41,08:35:56,pre-test,-149.0
26.41,08:35:56,pre-test,-148.75
26.41,08:35:56,pre-test,-148.5
26.41,08:35:56,pre-test,-148.25
26.39,08:35:57,pre-test,-148.0
26.39,08:35:57,pre-test,-147.75
26.39,08:35:57,pre-test,-147.5
26.39,08:35:57,pre-test,-147.25
26.45,08:35:58,pre-test,-147.0
26.45,08:35:58,pre-test,-146.75
26.45,08:35:58,pre-test,-146.5
26.45,08:35:58,pre-test,-146.25
26.39,08:35:59,pre-test,-146.0
26.39,08:35:59,pre-test,-145.75
26.39,08:35:59,pre-test,-145.5
26.39,08:35:59,pre-test,-145.25
26.41,08:36:00,pre-test,-145.0
26.41,08:36:00,pre-test,-144.75
26.41,08:36:00,pre-test,-144.5
26.41,08:36:00,pre-test,-144.25
26.45,08:36:01,pre-test,-144.0
26.45,08:36:01,pre-test,-143.75
26.45,08:36:01,pre-test,-143.5
26.45,08:36:01,pre-test,-143.25
26.45,08:36:02,pre-test,-143.0
26.45,08:36:02,pre-test,-142.75
26.45,08:36:02,pre-test,-142.5
26.45,08:36:02,pre-test,-142.25
26.43,08:36:03,pre-test,-142.0
26.43,08:36:03,pre-test,-141.75
26.43,08:36:03,pre-test,-141.5
26.43,08:36:03,pre-test,-141.25
26.43,08:36:04,pre-test,-141.0
26.43,08:36:04,pre-test,-140.75
26.43,08:36:04,pre-test,-140.5
26.43,08:36:04,pre-test,-140.25
26.43,08:36:05,pre-test,-140.0
26.43,08:36:05,pre-test,-139.75
26.43,08:36:05,pre-test,-139.5
26.43,08:36:05,pre-test,-139.25
26.43,08:36:06,pre-test,-139.0
26.43,08:36:06,pre-test,-138.75
26.43,08:36:06,pre-test,-138.5
26.43,08:36:06,pre-test,-138.25
26.39,08:36:07,pre-test,-138.0
26.39,08:36:07,pre-test,-137.75
26.39,08:36:07,pre-test,-137.5
26.39,08:36:07,pre-test,-137.25
26.37,08:36:08,pre-test,-137.0
26.37,08:36:08,pre-test,-136.75
26.37,08:36:08,pre-test,-136.5
26.37,08:36:08,pre-test,-136.25
26.49,08:36:09,pre-test,-136.0
26.49,08:36:09,pre-test,-135.75
26.49,08:36:09,pre-test,-135.5
26.49,08:36:09,pre-test,-135.25
26.47,08:36:10,pre-test,-135.0
26.47,08:36:10,pre-test,-134.75
26.47,08:36:10,pre-test,-134.5
26.47,08:36:10,pre-test,-134.25
26.47,08:36:11,pre-test,-134.0
26.47,08:36:11,pre-test,-133.75
26.47,08:36:11,pre-test,-133.5
26.47,08:36:11,pre-test,-133.25
26.49,08:36:12,pre-test,-133.0
26.49,08:36:12,pre-test,-132.75
26.49,08:36:12,pre-test,-132.5
26.49,08:36:12,pre-test,-132.25
26.65,08:36:13,pre-test,-132.0
26.65,08:36:13,pre-test,-131.75
26.65,08:36:13,pre-test,-131.5
26.65,08:36:13,pre-test,-131.25
26.57,08:36:14,pre-test,-131.0
26.57,08:36:14,pre-test,-130.75
26.57,08:36:14,pre-test,-130.5
26.57,08:36:14,pre-test,-130.25
26.55,08:36:15,pre-test,-130.0
26.55,08:36:15,pre-test,-129.75
26.55,08:36:15,pre-test,-129.5
26.55,08:36:15,pre-test,-129.25
26.55,08:36:16,pre-test,-129.0
26.55,08:36:16,pre-test,-128.75
26.55,08:36:16,pre-test,-128.5
26.55,08:36:16,pre-test,-128.25
26.53,08:36:17,pre-test,-128.0
26.53,08:36:17,pre-test,-127.75
26.53,08:36:17,pre-test,-127.5
26.53,08:36:17,pre-test,-127.25
26.49,08:36:18,pre-test,-127.0
26.49,08:36:18,pre-test,-126.75
26.49,08:36:18,pre-test,-126.5
