HR,timestamp,period
122.88,08:26:50,pre-test
122.95,08:26:51,pre-test
123.02,08:26:52,pre-test
123.07,08:26:53,pre-test
123.1,08:26:54,pre-test
123.12,08:26:55,pre-test
123.13,08:26:56,pre-test
123.13,08:26:57,pre-test
123.13,08:26:58,pre-test
123.12,08:26:59,pre-test
123.12,08:27:00,pre-test
123.1,08:27:01,pre-test
123.1,08:27:02,pre-test
123.1,08:27:03,pre-test
123.1,08:27:04,pre-test
123.12,08:27:05,pre-test
123.13,08:27:06,pre-test
123.13,08:27:07,pre-test
123.13,08:27:08,pre-test
123.13,08:27:09,pre-test
123.13,08:27:10,pre-test
123.12,08:27:11,pre-test
123.12,08:27:12,pre-test
123.12,08:27:13,pre-test
123.13,08:27:14,pre-test
123.15,08:27:15,pre-test
123.17,08:27:16,pre-test
123.17,08:27:17,pre-test
123.17,08:27:18,pre-test
123.17,08:27:19,pre-test
123.15,08:27:20,pre-test
123.13,08:27:21,pre-test
123.13,08:27:22,pre-test
123.15,08:27:23,pre-test
123.17,08:27:24,pre-test
123.2,08:27:25,pre-test
123.23,08:27:26,pre-test
123.27,08:27:27,pre-test
123.3,08:27:28,pre-test
123.33,08:27:29,pre-test
123.37,08:27:30,pre-test
123.4,08:27:31,pre-test
123.42,08:27:32,pre-test
123.45,08:27:33,pre-test
123.48,08:27:34,pre-test
123.5,08:27:35,pre-test
123.52,08:27:36,pre-test
123.52,08:27:37,pre-test
123.52,08:27:38,pre-test
123.5,08:27:39,pre-test
123.48,08:27:40,pre-test
123.45,08:27:41,pre-test
123.43,08:27:42,pre-test
123.42,08:27:43,pre-test
123.4,08:27:44,pre-test
123.38,08:27:45,pre-test
123.35,08:27:46,pre-test
123.33,08:27:47,pre-test
123.3,08:27:48,pre-test
123.27,08:27:49,pre-test
123.23,08:27:50,pre-test
123.22,08:27:51,pre-test
123.2,08:27:52,pre-test
123.17,08:27:53,pre-test
123.15,08:27:54,pre-test
123.13,08:27:55,pre-test
123.12,08:27:56,pre-test
123.08,08:27:57,pre-test
123.05,08:27:58,pre-test
123.03,08:27:59,pre-test
123.02,08:28:00,pre-test
123.02,08:28:01,pre-test
123.03,08:28:02,pre-test
123.05,08:28:03,pre-test
123.07,08:28:04,pre-test
123.08,08:28:05,pre-test
123.1,08:28:06,pre-test
123.12,08:28:07,pre-test
123.13,08:28:08,pre-test
123.15,08:28:09,pre-test
123.15,08:28:10,pre-test
123.17,08:28:11,pre-test
123.18,08:28:12,pre-test
123.2,08:28:13,pre-test
123.2,08:28:14,pre-test
123.2,08:28:15,pre-test
123.18,08:28:16,pre-test
123.17,08:28:17,pre-test
123.15,08:28:18,pre-test
123.13,08:28:19,pre-test
123.12,08:28:20,pre-test
123.1,08:28:21,pre-test
123.08,08:28:22,pre-test
123.1,08:28:23,pre-test
123.12,08:28:24,pre-test
123.15,08:28:25,pre-test
123.2,08:28:26,pre-test
123.25,08:28:27,pre-test
123.3,08:28:28,pre-test
123.33,08:28:29,pre-test
123.35,08:28:30,pre-test
123.35,08:28:31,pre-test
123.33,08:28:32,pre-test
123.28,08:28:33,pre-test
123.22,08:28:34,pre-test
123.15,08:28:35,pre-test
123.08,08:28:36,pre-test
123.02,08:28:37,pre-test
122.95,08:28:38,pre-test
122.88,08:28:39,pre-test
122.83,08:28:40,pre-test
122.8,08:28:41,pre-test
122.75,08:28:42,pre-test
122.68,08:28:43,pre-test
122.63,08:28:44,pre-test
122.58,08:28:45,pre-test
122.52,08:28:46,pre-test
122.43,08:28:47,pre-test
122.37,08:28:48,pre-test
122.28,08:28:49,pre-test
122.2,08:28:50,pre-test
122.08,08:28:51,pre-test
121.95,08:28:52,pre-test
121.82,08:28:53,pre-test
121.72,08:28:54,pre-test
121.62,08:28:55,pre-test
121.55,08:28:56,pre-test
121.5,08:28:57,pre-test
121.45,08:28:58,pre-test
121.4,08:28:59,pre-test
121.3,08:29:00,pre-test
121.17,08:29:01,pre-test
121.0,08:29:02,pre-test
120.85,08:29:03,pre-test
120.7,08:29:04,pre-test
120.55,08:29:05,pre-test
120.43,08:29:06,pre-test
120.33,08:29:07,pre-test
120.25,08:29:08,pre-test
120.18,08:29:09,pre-test
120.13,08:29:10,pre-test
120.08,08:29:11,pre-test
120.03,08:29:12,pre-test
120.0,08:29:13,pre-test
119.98,08:29:14,pre-test
119.97,08:29:15,pre-test
119.97,08:29:16,pre-test
119.95,08:29:17,pre-test
119.93,08:29:18,pre-test
119.9,08:29:19,pre-test
119.87,08:29:20,pre-test
119.8,08:29:21,pre-test
119.72,08:29:22,pre-test
119.57,08:29:23,pre-test
119.42,08:29:24,pre-test
119.27,08:29:25,pre-test
119.1,08:29:26,pre-test
118.95,08:29:27,pre-test
118.82,08:29:28,pre-test
118.68,08:29:29,pre-test
118.58,08:29:30,pre-test
118.5,08:29:31,pre-test
118.4,08:29:32,pre-test
118.3,08:29:33,pre-test
118.22,08:29:34,pre-test
118.12,08:29:35,pre-test
117.97,08:29:36,pre-test
117.75,08:29:37,pre-test
117.5,08:29:38,pre-test
117.27,08:29:39,pre-test
117.0,08:29:40,pre-test
116.7,08:29:41,pre-test
116.37,08:29:42,pre-test
116.05,08:29:43,pre-test
115.7,08:29:44,pre-test
115.4,08:29:45,pre-test
115.12,08:29:46,pre-test
114.87,08:29:47,pre-test
114.6,08:29:48,pre-test
114.37,08:29:49,pre-test
114.27,08:29:50,pre-test
114.17,08:29:51,pre-test
115.35,08:29:52,pre-test
115.95,08:29:53,pre-test
115.12,08:29:54,pre-test
115.15,08:29:55,pre-test
114.17,08:29:56,pre-test
114.5,08:29:57,pre-test
113.53,08:29:58,pre-test
114.07,08:29:59,pre-test
113.87,08:30:00,pre-test
113.42,08:30:01,pre-test
114.17,08:30:02,pre-test
113.77,08:30:03,pre-test
114.5,08:30:04,pre-test
115.62,08:30:05,pre-test
116.75,08:30:06,pre-test
116.4,08:30:07,pre-test
116.0,08:30:08,pre-test
115.58,08:30:09,pre-test
115.97,08:30:10,pre-test
116.38,08:30:11,pre-test
116.75,08:30:12,pre-test
117.15,08:30:13,pre-test
117.5,08:30:14,pre-test
118.58,08:30:15,pre-test
119.65,08:30:16,pre-test
120.73,08:30:17,pre-test
121.72,08:30:18,pre-test
122.77,08:30:19,pre-test
123.78,08:30:20,pre-test
124.85,08:30:21,pre-test
125.02,08:30:22,pre-test
125.22,08:30:23,pre-test
125.68,08:30:24,pre-test
124.97,08:30:25,pre-test
125.65,08:30:26,pre-test
126.05,08:30:27,pre-test
125.83,08:30:28,pre-test
126.2,08:30:29,pre-test
125.98,08:30:30,pre-test
125.77,08:30:31,pre-test
125.58,08:30:32,pre-test
125.42,08:30:33,pre-test
125.25,08:30:34,pre-test
125.1,08:30:35,pre-test
125.0,08:30:36,pre-test
124.97,08:30:37,pre-test
125.62,08:30:38,pre-test
125.57,08:30:39,pre-test
125.53,08:30:40,pre-test
125.5,08:30:41,pre-test
126.2,08:30:42,pre-test
126.92,08:30:43,pre-test
127.15,08:30:44,pre-test
127.17,08:30:45,pre-test
127.35,08:30:46,pre-test
127.5,08:30:47,pre-test
127.73,08:30:48,pre-test
127.95,08:30:49,pre-test
128.07,08:30:50,pre-test
128.13,08:30:51,pre-test
126.95,08:30:52,pre-test
126.37,08:30:53,pre-test
127.12,08:30:54,pre-test
127.03,08:30:55,pre-test
127.95,08:30:56,pre-test
127.57,08:30:57,pre-test
128.57,08:30:58,pre-test
128.03,08:30:59,pre-test
128.25,08:31:00,pre-test
128.75,08:31:01,pre-test
128.08,08:31:02,pre-test
128.5,08:31:03,pre-test
127.8,08:31:04,pre-test
126.68,08:31:05,pre-test
125.48,08:31:06,pre-test
125.72,08:31:07,pre-test
125.98,08:31:08,pre-test
126.25,08:31:09,pre-test
125.73,08:31:10,pre-test
125.08,08:31:11,pre-test
124.53,08:31:12,pre-test
123.97,08:31:13,pre-test
123.43,08:31:14,pre-test
122.17,08:31:15,pre-test
120.92,08:31:16,pre-test
119.6,08:31:17,pre-test
118.45,08:31:18,pre-test
117.27,08:31:19,pre-test
116.12,08:31:20,pre-test
114.93,08:31:21,pre-test
114.68,08:31:22,pre-test
114.45,08:31:23,pre-test
114.02,08:31:24,pre-test
114.77,08:31:25,pre-test
114.07,08:31:26,pre-test
113.63,08:31:27,pre-test
113.83,08:31:28,pre-test
113.48,08:31:29,pre-test
113.68,08:31:30,pre-test
113.82,08:31:31,pre-test
113.93,08:31:32,pre-test
114.05,08:31:33,pre-test
114.2,08:31:34,pre-test
114.33,08:31:35,pre-test
114.45,08:31:36,pre-test
114.4,08:31:37,pre-test
113.58,08:31:38,pre-test
113.28,08:31:39,pre-test
113.42,08:31:40,pre-test
113.12,08:31:41,pre-test
113.18,08:31:42,pre-test
112.42,08:31:43,pre-test
112.15,08:31:44,pre-test
111.23,08:31:45,pre-test
110.42,08:31:46,pre-test
110.57,08:31:47,pre-test
109.67,08:31:48,pre-test
109.72,08:31:49,pre-test
109.75,08:31:50,pre-test
111.42,08:31:51,pre-test
112.47,08:31:52,pre-test
111.48,08:31:53,pre-test
111.98,08:31:54,pre-test
111.53,08:31:55,pre-test
112.08,08:31:56,pre-test
112.0,08:31:57,pre-test
111.48,08:31:58,pre-test
111.0,08:31:59,pre-test
110.5,08:32:00,pre-test
111.0,08:32:01,pre-test
110.5,08:32:02,pre-test
110.08,08:32:03,pre-test
109.58,08:32:04,pre-test
109.1,08:32:05,pre-test
108.3,08:32:06,pre-test
107.38,08:32:07,pre-test
106.47,08:32:08,pre-test
105.55,08:32:09,pre-test
104.6,08:32:10,pre-test
103.75,08:32:11,pre-test
103.38,08:32:12,pre-test
103.0,08:32:13,pre-test
102.72,08:32:14,pre-test
102.3,08:32:15,pre-test
102.22,08:32:16,pre-test
101.85,08:32:17,pre-test
102.07,08:32:18,pre-test
102.67,08:32:19,pre-test
104.3,08:32:20,pre-test
104.9,08:32:21,pre-test
106.57,08:32:22,pre-test
107.12,08:32:23,pre-test
106.37,08:32:24,pre-test
106.97,08:32:25,pre-test
106.22,08:32:26,pre-test
106.95,08:32:27,pre-test
107.3,08:32:28,pre-test
107.35,08:32:29,pre-test
106.62,08:32:30,pre-test
107.38,08:32:31,pre-test
107.88,08:32:32,pre-test
108.4,08:32:33,pre-test
108.68,08:32:34,pre-test
108.97,08:32:35,pre-test
109.27,08:32:36,pre-test
108.83,08:32:37,pre-test
109.85,08:32:38,pre-test
111.93,08:32:39,pre-test
113.63,08:32:40,pre-test
115.82,08:32:41,pre-test
116.85,08:32:42,pre-test
116.88,08:32:43,pre-test
118.52,08:32:44,pre-test
119.25,08:32:45,pre-test
119.8,08:32:46,pre-test
119.37,08:32:47,pre-test
119.9,08:32:48,pre-test
119.5,08:32:49,pre-test
119.07,08:32:50,pre-test
117.08,08:32:51,pre-test
115.72,08:32:52,pre-test
116.42,08:32:53,pre-test
117.55,08:32:54,pre-test
119.68,08:32:55,pre-test
120.72,08:32:56,pre-test
122.4,08:32:57,pre-test
124.47,08:32:58,pre-test
126.47,08:32:59,pre-test
128.6,08:33:00,pre-test
129.65,08:33:01,pre-test
131.7,08:33:02,pre-test
133.8,08:33:03,pre-test
135.88,08:33:04,pre-test
138.05,08:33:05,pre-test
140.58,08:33:06,pre-test
141.68,08:33:07,pre-test
142.78,08:33:08,pre-test
143.87,08:33:09,pre-test
144.95,08:33:10,pre-test
146.05,08:33:11,pre-test
146.6,08:33:12,pre-test
147.15,08:33:13,pre-test
147.6,08:33:14,pre-test
148.2,08:33:15,pre-test
148.48,08:33:16,pre-test
149.12,08:33:17,pre-test
149.08,08:33:18,pre-test
148.63,08:33:19,pre-test
147.15,08:33:20,pre-test
146.72,08:33:21,pre-test
145.22,08:33:22,pre-test
144.8,08:33:23,pre-test
145.62,08:33:24,pre-test
146.62,08:33:25,pre-test
148.93,08:33:26,pre-test
149.85,08:33:27,pre-test
151.13,08:33:28,pre-test
152.62,08:33:29,pre-test
154.97,08:33:30,pre-test
155.82,08:33:31,pre-test
157.03,08:33:32,pre-test
158.22,08:33:33,pre-test
159.53,08:33:34,pre-test
160.93,08:33:35,pre-test
162.33,08:33:36,pre-test
164.65,08:33:37,pre-test
165.62,08:33:38,pre-test
165.62,08:33:39,pre-test
