time_seconds,EDA_min,EDA_max
4306.5,0.187097,2.424767
4306.75,0.210138,2.328607
4307.0,0.210138,2.236356
4307.25,0.210138,2.145387
4307.5,0.213995,2.089012
4307.75,0.213982,2.059543
4308.0,0.210138,2.035199
4308.25,0.208857,2.069793
4308.5,0.212714,2.146668
4308.75,0.21142,2.253012
4309.0,0.210138,2.245325
4309.25,0.210138,2.203044
4309.5,0.21142,2.194075
4309.75,0.21142,2.279919
4310.0,0.208857,2.445201
4310.25,0.208857,2.582295
4310.5,0.210138,2.732202
4310.75,0.208857,2.819327
4311.0,0.210138,2.851358
4311.25,0.210138,2.832139
4311.5,0.21142,2.757827
4311.75,0.21142,2.661732
4312.0,0.21142,2.575888
4312.25,0.212701,2.511826
4312.5,0.21142,2.456732
4312.75,0.210138,2.396513
4313.0,0.208857,2.347825
4313.25,0.212714,2.33245
4313.5,0.210138,2.310669
4313.75,0.16403,2.292731
4314.0,0.173001,2.276075
4314.25,0.08586,2.263263
4314.5,0.020504,2.246606
4314.75,0.007689,2.223544
4315.0,0.005126,2.22995
4315.25,0.006407,2.253012
4315.5,0.032037,2.246606
4315.75,0.121741,2.236356
4316.0,0.166593,2.236356
4316.25,0.171719,2.269669
4316.5,0.107645,2.409326
4316.75,0.046133,2.788577
4317.0,0.038445,3.070452
4317.25,0.010252,3.544733
4317.5,0.006407,3.805119
4317.75,0.006407,3.77565
4318.0,0.061511,3.7244
4318.25,0.09483,3.612931
4318.5,0.101237,3.365649
4318.75,0.09483,3.199086
4319.0,0.089704,3.070961
4319.25,0.04357,3.004335
4319.5,0.016659,2.953085
4319.75,0.011533,2.89671
4320.0,0.006407,2.872074
4320.25,0.007689,2.850293
4320.5,0.010252,2.809293
4320.75,0.021785,2.73498
4321.0,0.020504,2.719605
4321.25,0.035882,2.686292
4321.5,0.011533,2.682449
4321.75,0.006407,2.679886
4322.0,0.006407,2.681167
4322.25,0.005126,2.67348
4322.5,0.003844,2.670918
4322.75,0.005126,2.66323
4323.0,0.005126,2.660667
4323.25,0.007689,2.635042
4323.5,0.003844,2.624792
4323.75,0.003844,2.614542
4324.0,0.005126,2.592761
4324.25,0.0346,2.576105
4324.5,0.049978,2.572261
4324.75,0.057667,2.605573
4325.0,0.071763,2.664511
4325.25,0.082015,2.761886
4325.5,0.093548,2.846449
4325.75,0.099956,2.914356
4326.0,0.099956,2.966887
4326.25,0.090985,2.964324
4326.5,0.093548,2.933574
4326.75,0.09483,2.904106
4327.0,0.092267,2.855418
