time_seconds,HR_min,HR_max
670,75.03,133.03
671,74.73,132.93
672,74.37,132.83
673,74.0,132.72
674,73.63,132.58
675,73.22,132.42
676,72.87,132.3
677,72.42,132.17
678,71.98,132.03
679,71.57,132.13
680,71.12,132.77
681,70.65,132.92
682,70.07,133.07
683,69.48,133.4
684,69.12,133.73
685,68.7,134.02
686,68.4,134.23
687,68.1,134.3
688,67.82,134.35
689,67.57,134.37
690,67.33,134.35
691,67.17,134.27
692,67.0,134.12
693,66.8,133.95
694,66.63,133.73
695,66.18,133.47
696,65.73,133.18
697,65.28,132.88
698,64.82,132.57
699,64.33,132.27
700,63.78,131.97
701,63.32,131.65
702,62.95,131.2
703,62.52,130.78
704,62.03,130.53
705,61.57,130.32
706,61.05,130.1
707,60.53,129.93
708,60.03,129.72
709,59.63,129.53
710,59.22,129.37
711,58.85,129.42
712,58.65,130.1
713,58.37,130.72
714,58.1,131.35
715,58.03,131.98
716,58.03,132.47
717,57.93,133.0
718,57.88,133.55
719,57.85,134.03
720,57.85,134.52
721,57.87,134.98
722,57.87,135.15
723,57.88,135.93
724,57.92,136.72
725,57.9,137.55
726,57.88,138.37
727,57.87,139.22
728,57.9,140.12
729,57.9,141.05
730,58.47,141.85
731,59.05,142.65
732,59.7,143.57
733,60.33,143.65
734,61.07,144.33
735,61.82,145.25
736,62.55,145.27
737,63.38,145.25
738,64.3,145.22
739,65.18,145.2
740,66.1,144.58
741,67.15,143.98
742,68.2,143.38
743,69.25,142.8
744,70.25,142.25
745,71.23,141.75
746,72.3,141.37
747,73.37,141.27
748,74.43,140.65
749,75.38,140.1
750,76.3,139.52
751,76.5,138.9
752,76.52,138.28
753,76.53,137.68
754,76.53,137.05
755,76.55,136.38
756,76.58,135.72
757,76.62,135.03
758,76.72,134.35
759,76.8,133.68
760,76.88,133.05
761,76.97,132.37
762,77.03,131.62
763,77.07,130.87
764,77.08,130.12
765,77.08,129.32
766,77.08,129.27
767,77.1,127.48
768,77.08,125.67
769,77.02,123.9
770,76.95,122.15
771,76.88,121.3
772,76.82,120.45
773,76.77,119.62
774,76.72,119.08
775,76.67,118.7
776,76.68,118.42
777,76.68,118.42
778,76.73,118.37
779,76.8,118.22
780,76.88,118.1
781,76.98,117.97
782,77.08,117.85
783,77.2,117.72
784,77.32,117.6
785,77.43,117.52
786,77.48,117.48
787,77.53,117.47
788,77.58,117.45
789,77.65,117.47
790,77.72,117.48
791,77.67,117.48
792,77.48,117.48
793,77.27,117.48
794,76.98,117.48
795,76.55,117.48
796,76.1,117.48
797,75.72,117.48
798,75.35,117.47
799,74.95,117.47
800,74.55,117.52
801,74.2,117.53
802,73.9,117.78
803,73.6,118.02
804,73.45,118.25
805,73.23,118.5
806,73.03,118.73
807,72.97,118.97
808,72.87,119.23
809,72.77,119.52
810,72.65,119.73
811,72.48,120.0
812,72.28,120.22
813,72.08,120.33
814,71.97,120.4
815,71.83,120.52
816,71.7,120.62
817,71.62,120.6
818,71.43,120.6
819,71.35,120.67
820,71.18,120.77
821,71.05,120.87
822,70.9,120.92
823,70.72,120.93
824,70.53,120.95
825,70.35,120.98
826,70.17,121.0
827,69.93,121.0
828,69.58,121.02
829,69.22,121.05
830,68.83,121.13
831,68.52,121.2
832,68.22,121.28
833,68.07,121.27
834,67.93,121.28
835,68.0,121.35
836,68.03,121.43
837,67.92,121.52
838,67.77,121.65
839,67.63,121.83
840,67.63,122.02
841,67.67,122.22
842,67.92,122.4
843,68.15,122.62
844,68.38,122.9
845,68.65,123.12
846,68.93,123.3
847,69.32,123.45
848,69.68,123.62
849,70.08,123.7
850,70.5,123.83
851,70.92,123.95
852,71.1,124.1
853,71.32,124.22
854,71.55,124.32
855,71.78,124.3
856,71.97,124.28
857,72.13,124.25
858,72.3,124.17
859,72.52,124.07
860,72.37,123.95
861,72.0,123.82
862,71.73,123.7
863,71.5,123.58
864,71.28,123.42
865,71.15,123.28
866,71.05,123.08
867,71.13,122.9
868,71.18,122.72
869,71.32,122.52
870,71.45,122.33
871,71.6,122.17
872,71.58,122.07
873,71.52,121.95
874,71.3,121.9
875,71.2,121.85
876,73.45,121.83
877,75.33,121.82
878,76.08,121.83
879,75.93,121.8
880,75.73,121.35
881,75.55,120.93
882,75.38,120.57
883,75.23,120.27
884,75.1,119.97
885,75.0,119.65
886,74.9,119.45
887,74.82,119.3
888,74.75,119.15
889,74.68,118.98
890,74.62,118.78
891,74.53,118.57
892,74.47,118.15
893,74.38,117.77
894,74.32,117.32
895,74.23,116.85
896,74.08,116.35
897,73.93,115.85
898,73.78,115.33
899,73.62,114.87
900,73.43,115.2
901,73.23,116.6
902,73.07,118.02
903,72.88,119.42
904,72.73,120.82
905,72.58,122.43
906,72.42,124.28
907,72.25,126.25
908,72.0,128.22
909,71.82,130.17
910,71.63,132.13
911,71.45,134.03
912,71.28,135.97
913,71.15,137.88
914,71.07,139.77
915,71.0,141.62
916,71.07,143.18
917,71.12,144.77
918,71.17,146.3
919,71.23,147.9
920,71.3,149.5
921,71.35,151.1
922,71.37,152.68
923,71.38,154.22
924,71.42,155.75
925,71.47,157.22
926,71.45,158.68
927,71.43,160.1
928,71.42,161.53
929,71.45,162.98
930,71.48,164.43
931,71.5,165.9
932,71.5,167.42
933,71.52,168.48
934,71.53,169.72
935,71.53,170.98
936,71.57,169.83
937,71.62,169.17
938,71.67,168.58
939,71.72,167.45
940,71.83,166.32
941,71.95,165.1
942,72.05,163.93
943,72.18,163.3
944,72.5,162.62
945,72.82,161.92
946,73.12,161.2
947,73.27,160.52
948,73.28,159.82
949,73.3,159.22
950,73.35,158.6
951,73.37,158.0
952,73.22,157.55
953,73.1,157.05
954,73.02,156.53
955,72.88,156.0
956,72.78,155.4
957,72.63,154.75
958,72.45,154.13
959,72.28,153.53
960,72.1,152.92
961,72.05,152.33
962,72.02,151.73
963,72.0,151.32
964,71.98,150.98
965,71.82,149.32
966,71.8,147.48
967,71.78,145.55
968,71.78,143.67
969,71.85,141.78
970,71.92,139.85
971,72.02,137.97
972,72.3,136.08
973,72.55,134.17
974,72.97,132.27
975,73.33,130.35
976,73.63,128.77
977,73.92,127.23
978,74.18,125.55
979,74.47,123.82
980,74.73,122.12
981,74.95,120.42
982,75.0,118.75
983,75.13,117.12
984,75.25,115.7
985,75.35,114.32
986,75.48,113.75
987,75.62,114.37
988,75.78,115.0
989,75.98,115.8
990,76.17,116.55
991,76.35,117.27
992,76.67,118.02
993,77.02,118.83
994,77.28,119.65
995,77.22,119.62
996,77.13,119.55
997,77.03,118.88
998,76.93,117.05
999,76.9,116.4
1000,76.83,115.77
1001,76.77,115.97
1002,76.68,116.28
1003,76.57,115.78
1004,76.25,115.83
1005,75.93,115.95
1006,75.85,116.08
1007,75.75,116.23
1008,75.63,116.23
1009,75.5,116.47
1010,75.33,116.68
1011,75.18,116.88
1012,75.03,117.05
1013,74.87,117.2
1014,74.72,117.42
1015,74.6,117.67
1016,74.48,118.55
1017,74.33,119.4
1018,74.13,120.23
1019,73.92,121.05
1020,73.68,121.57
1021,73.47,122.05
1022,73.27,120.7
1023,73.05,120.5
1024,72.97,120.32
1025,72.9,120.28
1026,72.88,120.28
1027,72.85,120.47
1028,72.85,120.65
1029,72.88,120.82
1030,72.93,120.98
1031,73.02,121.15
1032,73.1,121.13
1033,73.2,121.88
1034,73.32,121.77
1035,73.43,121.67
1036,73.52,122.27
1037,73.53,122.87
1038,73.38,123.45
1039,73.27,124.0
1040,73.2,123.85
1041,73.12,123.68
1042,73.03,123.5
1043,73.0,123.37
1044,73.17,123.22
1045,73.42,123.1
1046,73.6,122.95
1047,73.78,122.78
1048,73.93,122.62
1049,74.1,122.45
1050,74.28,121.93
1051,74.35,121.42
1052,74.45,120.8
1053,74.5,120.08
1054,74.55,119.37
1055,74.6,118.63
